time_years,cumulative_log_growth,mean_megno,relative_energy_error
2.0472160000e+05,1.2695953821e+01,2.0221146133e+00,9.957612e-07
3.8944280001e+05,1.3403924348e+01,2.0136859113e+00,6.863240e-07
6.1416440000e+05,1.3906429177e+01,2.0109589592e+00,7.447639e-07
7.9888559996e+05,1.4117645342e+01,2.0105763858e+00,5.879618e-07
9.8360679991e+05,1.4289349315e+01,2.0088014557e+00,6.520859e-07
1.2083283999e+06,1.4518064357e+01,2.0066853300e+00,6.196376e-07
1.3930495998e+06,1.4714395960e+01,2.0045342781e+00,7.824611e-07
1.6177711998e+06,1.4890845104e+01,2.0014257092e+00,7.072494e-07
1.8024923997e+06,1.4845593203e+01,1.9986533989e+00,7.385212e-07
1.9872135997e+06,1.4919559706e+01,1.9962221276e+00,1.026576e-06
2.2119351998e+06,1.5291524855e+01,1.9940060227e+00,1.728532e-07
2.3966563999e+06,1.5087040935e+01,1.9929267697e+00,7.003372e-07
2.5813780001e+06,1.5292927874e+01,1.9921937400e+00,5.945675e-07
2.8060992003e+06,1.5514326712e+01,1.9913642340e+00,6.069508e-07
2.9908204005e+06,1.5349430338e+01,1.9904168783e+00,6.197833e-07
3.2155420007e+06,1.5502898784e+01,1.9893367801e+00,6.044375e-07
3.4002632009e+06,1.5590145490e+01,1.9885165614e+00,7.402408e-07
3.5849848010e+06,1.5569967354e+01,1.9878090886e+00,8.242751e-07
3.8097060013e+06,1.5677515946e+01,1.9873228517e+00,8.977659e-07
3.9944272014e+06,1.5739531275e+01,1.9872752578e+00,5.585872e-07
4.2191488016e+06,1.5790322879e+01,1.9872251501e+00,5.163273e-08
4.4038700018e+06,1.5839857426e+01,1.9870866908e+00,7.396041e-07
4.5885916020e+06,1.5883314956e+01,1.9867119151e+00,6.105274e-07
4.8133128022e+06,1.5920189962e+01,1.9860486751e+00,6.473778e-07
4.9980340024e+06,1.5924665406e+01,1.9854177072e+00,6.107559e-07
5.1827556025e+06,1.5942695918e+01,1.9847727395e+00,7.152803e-07
5.4074768027e+06,1.6166332322e+01,1.9842180270e+00,6.691008e-07
5.5921984029e+06,1.5999139262e+01,1.9839700954e+00,8.700293e-07
5.8169196031e+06,1.6062423871e+01,1.9838745490e+00,8.484455e-07
6.0016408033e+06,1.6217230982e+01,1.9837643183e+00,5.820131e-08
6.1863624035e+06,1.6086622214e+01,1.9836611307e+00,8.285737e-07
6.4110836037e+06,1.6206989618e+01,1.9837910207e+00,9.241796e-07
6.5958052038e+06,1.6222470256e+01,1.9839649160e+00,6.630147e-07
6.7805264040e+06,1.6267425981e+01,1.9843151225e+00,6.058489e-07
7.0052476042e+06,1.6285656279e+01,1.9851653607e+00,5.806369e-07
7.1899692044e+06,1.6335752272e+01,1.9859522979e+00,6.523648e-07
7.4146904046e+06,1.6387085355e+01,1.9867432704e+00,6.404069e-07
7.5994120048e+06,1.6488969356e+01,1.9873497719e+00,8.422428e-07
7.7841332050e+06,1.6378247873e+01,1.9877593836e+00,2.853327e-07
8.0088544052e+06,1.6396376140e+01,1.9878227649e+00,4.902625e-07
8.1935760053e+06,1.6466836964e+01,1.9877532519e+00,8.903109e-07
8.4182972054e+06,1.6502793101e+01,1.9876960001e+00,8.427924e-07
8.6030188047e+06,1.6531174499e+01,1.9876823075e+00,7.027712e-07
8.7877400040e+06,1.6440076272e+01,1.9874501083e+00,6.031218e-07
9.0124612032e+06,1.6562137971e+01,1.9871788418e+00,6.180657e-07
9.1971828025e+06,1.6750715404e+01,1.9870116956e+00,6.190489e-07
9.3819040018e+06,1.6598641882e+01,1.9868605474e+00,8.278065e-07
9.6066256010e+06,1.6580989446e+01,1.9867480538e+00,6.962670e-07
9.7913468003e+06,1.6696684142e+01,1.9868564032e+00,6.516926e-07
1.0016067999e+07,1.6908213165e+01,1.9875821429e+00,8.167751e-07
1.0200789599e+07,1.6571719792e+01,1.9884838735e+00,8.729912e-07
1.0385510798e+07,1.6724339318e+01,1.9894821974e+00,7.186559e-07
1.0610232397e+07,1.6945684936e+01,1.9911619496e+00,7.926377e-07
1.0794953597e+07,1.6720834430e+01,1.9927431013e+00,6.194801e-07
1.1019674796e+07,1.6679016913e+01,1.9946329878e+00,6.293051e-07
1.1204396395e+07,1.6975231572e+01,1.9963775301e+00,5.956368e-07
1.1389117594e+07,1.6988241598e+01,1.9985931624e+00,7.161184e-07
1.1613839193e+07,1.6680641884e+01,2.0011172786e+00,6.526091e-07
1.1798560393e+07,1.6798891593e+01,2.0031771087e+00,9.214080e-07
1.1983281592e+07,1.7226264176e+01,2.0053172883e+00,8.585498e-07
1.2208003191e+07,1.7191119884e+01,2.0081035185e+00,3.463291e-07
1.2392724391e+07,1.6777170834e+01,2.0100886116e+00,7.784336e-07
1.2617445990e+07,1.6742131842e+01,2.0124668746e+00,8.463202e-07
1.2802167189e+07,1.7169547999e+01,2.0146660180e+00,6.447678e-07
1.2986888388e+07,1.7199773293e+01,2.0172173669e+00,5.972132e-07
1.3211609988e+07,1.6763452043e+01,2.0202897470e+00,5.800572e-07
1.3396331187e+07,1.6921783412e+01,2.0229082467e+00,6.871243e-07
1.3581052786e+07,1.7585270305e+01,2.0257096634e+00,1.036088e-06
1.3805773985e+07,1.7094552738e+01,2.0296403803e+00,8.924005e-07
1.3990495185e+07,1.7016308544e+01,2.0326717539e+00,1.885140e-07
1.4215216784e+07,1.7587162836e+01,2.0368325460e+00,1.667079e-07
1.4399937983e+07,1.7277681283e+01,2.0408100280e+00,8.035643e-07
1.4584659582e+07,1.7180204765e+01,2.0447068645e+00,6.232951e-07
1.4809380782e+07,1.7103936755e+01,2.0496640698e+00,6.683949e-07
1.4994101981e+07,1.7667869467e+01,2.0540792266e+00,5.966423e-07
1.5218823580e+07,1.6988058563e+01,2.0593073842e+00,5.931127e-07
1.5403544779e+07,1.7401837597e+01,2.0634442527e+00,6.552956e-07
1.5588266379e+07,1.7271703125e+01,2.0676126649e+00,8.502407e-07
1.5812987578e+07,1.7793392366e+01,2.0730386968e+00,7.845764e-07
1.5997708777e+07,1.7177811991e+01,2.0774949802e+00,2.693686e-07
1.6182430376e+07,1.7330474322e+01,2.0817066855e+00,8.711264e-07
1.6407151576e+07,1.7569488679e+01,2.0868982703e+00,1.028665e-06
1.6591873175e+07,1.7777328909e+01,2.0914539300e+00,6.716465e-07
1.6816594374e+07,1.7069215347e+01,2.0968127918e+00,6.794806e-07
1.7001315573e+07,1.7583575484e+01,2.1009796579e+00,5.801545e-07
1.7186037173e+07,1.7062975825e+01,2.1050528562e+00,6.424312e-07
1.7410758372e+07,1.7806661530e+01,2.1102607664e+00,6.368345e-07
1.7595479971e+07,1.7551303435e+01,2.1145200966e+00,8.007117e-07
1.7780201171e+07,1.7244516525e+01,2.1188439428e+00,2.527879e-07
1.8004922370e+07,1.7795453960e+01,2.1245554262e+00,5.570956e-07
1.8189643969e+07,1.7641925808e+01,2.1290917885e+00,8.935891e-07
1.8414365168e+07,1.7149691884e+01,2.1348953704e+00,6.961890e-07
1.8599086767e+07,1.8198726664e+01,2.1397877779e+00,6.996381e-07
1.8783807967e+07,1.7698027966e+01,2.1451213199e+00,5.949498e-07
1.9008529166e+07,1.7605351104e+01,2.1514564971e+00,6.155871e-07
1.9193250765e+07,1.7351920762e+01,2.1569568858e+00,6.292437e-07
1.9417971964e+07,1.8026798592e+01,2.1636170949e+00,6.003431e-07
1.9602693564e+07,1.8087925634e+01,2.1691429943e+00,6.965514e-07
1.9787414763e+07,1.7555048151e+01,2.1741211118e+00,8.324077e-07
2.0012135962e+07,1.7658992453e+01,2.1799425119e+00,8.881543e-07
2.0196857562e+07,1.8260200340e+01,2.1844249585e+00,6.642550e-07
2.0381578761e+07,1.8203201498e+01,2.1891696477e+00,7.051235e-07
2.0606300360e+07,1.7243718590e+01,2.1945224289e+00,8.123707e-07
2.0791021559e+07,1.8072203054e+01,2.1986444865e+00,6.240157e-07
2.1015742758e+07,1.7383952206e+01,2.2031404047e+00,6.357295e-07
2.1200464358e+07,1.7973027979e+01,2.2068029429e+00,5.983067e-07
2.1385185557e+07,1.8090994429e+01,2.2099229815e+00,6.912894e-07
2.1609907156e+07,1.7910886797e+01,2.2134121987e+00,6.540109e-07
2.1794628356e+07,1.7658839571e+01,2.2163731912e+00,9.073562e-07
2.2019349555e+07,1.8143939964e+01,2.2195173112e+00,8.576312e-07
2.2204071154e+07,1.7498644180e+01,2.2220915863e+00,2.978421e-07
2.2388792353e+07,1.8293681071e+01,2.2248721439e+00,8.180854e-07
2.2613513953e+07,1.7240992955e+01,2.2279425748e+00,8.817185e-07
2.2798235152e+07,1.7739758354e+01,2.2302273166e+00,6.639918e-07
2.2982956351e+07,1.7436801344e+01,2.2323961111e+00,5.968740e-07
2.3207677950e+07,1.8325696805e+01,2.2350914022e+00,5.971864e-07
2.3392399150e+07,1.7925294686e+01,2.2373414678e+00,6.478997e-07
2.3617120749e+07,1.7814886052e+01,2.2396859662e+00,6.172483e-07
2.3801841948e+07,1.7620008146e+01,2.2416426327e+00,8.326867e-07
